Test,Gene,Ct,ΔCt,ΔΔCt,2^-(ΔΔCt),x̄ (Mean),σ (Standard deviation),Error ,P-Value
H1,Dnj-13,19.691,-1.565,-0.378,1.9,2.23975,1.319638127,0.5891899216,0.04749228299
H2,Dnj-13,20.094,-1.187,0.375,2.508,,,,
C1,Dnj-13,21.61,-0.723,,3.363,,,,
C3,Dnj-13,22.001,-1.098,,4.799,,,,
H4,Dnj-13,21.256,,,0.75,,,,
C4,Dnj-13,21.281,,,1.216,,,,
H3,Dnj-13,22.333,,,1.29,,,,
C2,Dnj-13,23.099,,,2.092,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,33.23773115,,,,
,,21.420625,,H1,,,,,
,,18.129875,,H3,,,,,
,,3.29075,,H4,,,,,
,,,,C1,,,,,
,,,,C2,,,,,
,,,,C3,,,,,
,,,,C4,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,6.9772,4.4035,,,,,,,
,6.7048,2.6289,,,,,,,
,6.4144,4.8073,,,,,,,